"piwik_reports","Piwik Reports" 
"piwik_settings","Piwik Einstellungen"
"token_auth","token_auth"
"piwik_url","URL zu Piwik"
"piwik_trackid","Tracking ID"
"piwik_siteurl","Domain der Seite"
"piwik_visitors","Piwik Besucher"
"piwik_pages","Piwik Seiten"
"piwik_web_analytics","Piwik Web Analytics"
"piwik_pageviews","Besuche"
"piwik_unique_pageviews","Eindeutige Besucher"
"piwik_exits","Absprünge"
"piwik_entrances","Eingangsseite"
"piwik_bounces","Wiederkehrende Besucher"
"piwik_Direct Entry","Direkteinstieg"
"piwik_Search Engines","Suchmaschinen"
"piwik_Websites","Verlinkung"
"qrcodes","QR-Codes"